Open_time,Symbol,Open,High,Low,Close
1635292800000,XRPUSDT,1.10760000,1.12480000,0.94830000,0.99500000
1635379200000,XRPUSDT,0.99510000,1.08160000,0.98100000,1.05790000
1635465600000,XRPUSDT,1.05800000,1.09030000,1.04090000,1.08250000
1635552000000,XRPUSDT,1.08250000,1.11690000,1.06110000,1.08460000
1635638400000,XRPUSDT,1.08450000,1.15440000,1.06890000,1.11280000
1635724800000,XRPUSDT,1.11280000,1.13210000,1.06900000,1.09150000
1635811200000,XRPUSDT,1.09160000,1.14680000,1.08510000,1.13490000
1635897600000,XRPUSDT,1.13480000,1.23630000,1.12550000,1.21010000
1635984000000,XRPUSDT,1.21000000,1.25740000,1.16040000,1.20040000
1636070400000,XRPUSDT,1.20040000,1.20150000,1.13110000,1.15810000
1636156800000,XRPUSDT,1.15810000,1.18280000,1.10000000,1.15100000
1636243200000,XRPUSDT,1.15110000,1.23740000,1.14510000,1.21980000
1636329600000,XRPUSDT,1.21980000,1.29600000,1.21920000,1.28150000
1636416000000,XRPUSDT,1.28150000,1.28840000,1.22450000,1.25710000
1636502400000,XRPUSDT,1.25720000,1.34930000,1.11740000,1.19020000
1636588800000,XRPUSDT,1.19020000,1.25440000,1.17640000,1.21420000
1636675200000,XRPUSDT,1.21420000,1.23320000,1.15420000,1.18830000
1636761600000,XRPUSDT,1.18840000,1.20390000,1.16700000,1.18920000
1636848000000,XRPUSDT,1.18940000,1.19950000,1.16750000,1.18790000
1636934400000,XRPUSDT,1.18790000,1.21980000,1.16510000,1.17200000
1637020800000,XRPUSDT,1.17200000,1.17210000,1.04180000,1.08770000
1637107200000,XRPUSDT,1.08770000,1.11300000,1.05880000,1.09530000
1637193600000,XRPUSDT,1.09530000,1.17000000,1.01500000,1.04060000
1637280000000,XRPUSDT,1.04060000,1.10300000,1.01740000,1.08920000
1637366400000,XRPUSDT,1.08920000,1.10150000,1.05940000,1.09650000
1637452800000,XRPUSDT,1.09650000,1.09740000,1.05440000,1.05690000
